id,start_academic_year,provider_name,provider_code,provider_ukprn,partner_name,partner_reference,partner_type,school_name,school_urn,subject_name
e1967650-6862-4ce9-a569-abfe0b52f130,2019,Birmingham City University,B25,10007140,,,,Abbey Catholic Primary School,147669,Primary
f4a8e8dd-3084-48bd-adaa-8bc64662805f,2019,University of Bedfordshire,B22,10007152,,,,"Abbey College, Ramsey",137377,Physical education
991b8060-3a80-4e31-8ba8-ddd7904ac104,2019,Sheffield Hallam University,S21,10005790,,,,Abbeyfield Primary Academy,143052,Primary
dd4aa61c-af44-496a-808c-70dae43ce280,2019,Lincoln Bishop University,B38,10007811,,,,Abbey Hill Primary & Nursery,136006,Primary
825014cf-ae3f-4bc8-a9ca-d1f8ba44ab01,2019,University of Wolverhampton,W75,10007166,,,,Abbey Primary School,104168,Primary
e3abfbc9-2eeb-4049-a79c-cd417d316d4a,2019,Nottingham Trent University,N91,10004797,,,,Abbey Road Primary School,148168,Primary
80432d48-5c27-41c7-9b7c-d8453d88aa8e,2019,Canterbury Christ Church University,C10,10001143,,,,Abbot's Hall Community Primary School,147933,Primary
eed831c0-816f-4f2e-8895-f13d5f2dd4a6,2019,University Of Plymouth,P60,10007801,,,,Abbotsweld Primary Academy,141380,Primary
6bafa8ad-f23b-4a65-960c-dedbdffbeff2,2019,"University of the West of England, Bristol",B80,10007164,,,,Abbotswood Primary School,132199,Primary
c5da0043-61d1-400c-a782-e3ae832d9849,2019,University of Hertfordshire,H36,10007147,,,,Abel Smith School,117111,Primary
1ae0b001-4e36-43b8-a37a-12ff19f48175,2019,University of Hertfordshire,H36,10007147,,,,Aboyne Lodge Junior Mixed and Infant School,117141,Primary
d90d2beb-dd39-44be-bf28-de00dbae2d4b,2019,Edge Hill University,E42,10007823,,,,Abram Bryn Gates Primary School,106414,Primary
b36652ae-2e9e-40b6-a4c3-652bcf218fb1,2019,University of Sunderland,S84,10007159,,,,Academy 360,145477,Primary
c171fb91-9ec6-4879-ba14-dcd254e6cbd8,2019,Edge Hill University,E42,10007823,,,,Accrington Peel Park Primary School,119184,Primary
aa86e574-4f35-4ea1-800e-9266a9a2c7b9,2019,University of Northumbria at Newcastle,N77,10001282,,,,Acre Rigg Academy,138554,Primary
499e28eb-77ae-4dd0-8eb6-d93855ff18e5,2019,University of Sunderland,S84,10007159,,,,Acre Rigg Academy,138554,Primary
88a62952-dfd8-455f-81b0-10906377d3c3,2019,Roehampton University,R48,10007776,,,,Addison Primary School,100321,Primary
325cc98e-66b4-4d8d-9827-aaaa05464f63,2019,St Mary's University,S64,10007843,,,,Addison Primary School,100321,Primary
31034dc2-0a61-4bb2-83c9-30457367cae3,2019,University of Hull,H72,10007149,,,,Adelaide Primary School,144672,Primary
75b910cc-28f4-474d-be3f-1ad76645c10b,2019,Sheffield Hallam University,S21,10005790,,,,Adswood Primary School,106024,Primary
450b08d6-8c9e-412b-97f4-a10e125cde09,2019,The Manchester Metropolitan University,M40,10004180,,,,Adswood Primary School,106024,Primary
6b83167a-92e4-4e9a-a430-e543739e607b,2019,Leeds Beckett University,L27,10003861,,,,Ainthorpe Primary School,139570,Primary
488e83c9-3c6f-43aa-bb95-a95f1898d45f,2019,Edge Hill University,E42,10007823,,,,Aintree Davenhill Primary School,104868,Primary
